lit_id,doc_kind,pub_no,s_S1,s_S2,s_S3,s_S4,s_S5,s_chain_notes,a_S1,a_S2,a_S3,a_S4,a_S5,candidates,b_relation,b_disclosed,b_gap,c_relation,c_disclosed,c_gap,d_relation,d_disclosed,d_gap,f_relation,f_disclosed,f_gap,crowded,gap_hook,deep_review,notable
1,综述,,无,无,无,无,无,S1-S5均不涉及；'实时反馈修正'为滚动调度趋势提法非机制,无,无,无,无,无,B,,,,,,,,,,,,,多时间尺度滚动调度、分布鲁棒优化,综述指认'固定计划→实时反馈修正'趋势，但反馈修正与设备能力状态之间无连接机制,无需,
2,综述,,无,无,无,无,无,滚动优化+实时修正为方法罗列无机制,无,无,无,无,无,B,,,,,,,,,,,,,概率预测+多时间尺度修正框架,分布式储能浮充闲置统筹自认缺机制——站级能力统筹与市场机制空白,无需,
3,期刊论文,,无,无,无,无,无,负荷转供属故障恢复调度非偏差驱动的等效余量映射,无,无,无,无,无,B,,,,,,,,,,,,,韧性配置双层优化,无,无需,
4,政策标准,,无,无,无,无,无,数据接口标准不含控制逻辑,无,无,无,无,无,H;C,,,,,,,,,,,,,监测数据传输契约,设备状态类字段已标准化，但状态字段与'是否允许参与控制'的资格判定之间无机制,无需,
5,期刊论文,,无,无,无,无,无,实时反馈发电功率是量测输入非执行反馈回写,无,无,无,无,无,B,,,,,,,,,,,,,多目标加权EMS,已实时采集SOC/SOH但未形成设备能力边界量——采集与能力判定之间缺机制,无需,
6,期刊论文,,无,无,无,无,无,价格机制驱动能量互动，非偏差确认边界与定向转移,无,无,无,无,无,B,,,,,,,,,,,,,价格驱动的多主体互动,无,无需,
7,期刊论文,,无,无,无,无,无,设备与工程介绍无控制机制细节,无,无,无,无,无,,,,,,,,,,,,,,光储充系统集成、并离网切换,无,无需,
8,期刊论文,,无,无,无,无,无,建设难点与常规对策无机制环,无,无,无,无,无,B,,,,,,,,,,,,,有序充电、负荷响应特性分类,可转移/可调节负荷的静态分类未与实时设备能力状态连接,无需,双栏PDF转换错位
9,期刊论文,,无,无,无,弱覆盖,无,S4弱形态覆盖：量测缺口ΔP→异构资源按可调度裕度权重功率补偿；触发源是经济优化非执行偏差，无等效余量映射与能力边界语义，无偏差证据/归因/执行确认,无,无,无,弱覆盖,无,A;B,,,,,,,,,,,,,MPC分层控制+缺口驱动异构资源补偿,补偿用的'可调度裕度'是静态参数——无执行偏差确认对其修正的机制,无需,文末2页串页污染
10,期刊论文,,无,无,无,无,无,桩群按状态/优先级分配属同类设备常规分配，非异构偏差确认后定向转移,无,无,无,无,无,B;F,,,,,,,,,,,,,RL功率分配+5G边缘协同,CNN故障预警与功率分配两模块并存但告警不改分配能力——预警与能力未连接,无需,效果数字粒度夸大，可信度一般
11,期刊论文,,无,无,无,无,无,静态经济运行策略,无,无,无,无,无,,,,,,,,,,,,,,峰谷套利储能策略,无,无需,全角字符错序严重，细节难引
