lit_id,子库,文件名,类型,公开号_出处,机构,年份,作者_申请人,处理链路,证据层级,sha256_12,相关度,威胁评估,五步链覆盖要点,一句话要点,待核实,备注
1,顶层,电动汽车光储充一体化电站运营管理和设施规划综述.pdf,期刊综述,交通运输工程学报(网络首发),合肥工业大学等,2026,王华等,converted_fulltext,全文级,ee754beb095f,B,无覆盖,无覆盖,光储充站规划+运营两域综述，多时间尺度滚动调度趋势,无,
2,顶层,光储充建一体站微电网研究综述.pdf,期刊综述,电力科学与技术学报39(1),长沙理工大学,2024,颜勤、余国翔,converted_fulltext,全文级,5c35363759f3,B,无覆盖,无覆盖,光储充放+智能建筑一体站综述，指出储能浮充闲置统筹难,无,
3,顶层,面向配电网韧性提升的光储充一体化电站优化配置方法.pdf,期刊论文,浙江电力45(2),上海电力大学等,2026,黄程浩等,converted_fulltext,全文级,14ab3e894e81,B,无覆盖,无覆盖,韧性导向光储充站选址定容双层优化,无,
4,顶层,DB35_T+2144-2023光储充检电站在线监测数据传输要求.pdf,地方标准,DB35/T 2144-2023,福建省市场监管局,2023,国网福建提出,converted_fulltext,全文级,2099d8023b9c,C,无覆盖,无覆盖,光储充检站监测数据传输接口规范(台账/电量/状态三类字段),无,数据字段口径可作M1数据契约参考
5,顶层,光储充一体化电站能量管理系统研究.pdf,期刊论文,工业控制计算机39(3),南京机电职院,2026,王奔等,converted_fulltext,全文级,7bf9a54a540f,B,无覆盖,无覆盖,多利益主体加权单目标优化+分层EMS,无,
6,顶层,考虑多主体互动的光储充微电网运行模式分析.pdf,期刊论文,电力科学与技术学报38(2),国网湖南等,2023,魏梅芳等,converted_fulltext,全文级,6938b3c6a9e1,B,无覆盖,无覆盖,合约电价驱动的楼宇-充电站多主体互动,无,
7,顶层,园区级光储充一体化系统关键技术研究.pdf,期刊文章,科技与创新2025(8),福建网能科技等,2025,严琦等,converted_fulltext,全文级,0131c091d93e,B,无覆盖,无覆盖,园区光储充构成与6种运行模式工程介绍,无,
8,顶层,新能源光储充一体化电站建设关键技术研究分析.pdf,期刊文章,电气技术与经济2023,南水北调集团新能源,2023,黄玮,converted_fulltext,全文级,bb448efc561e,B,无覆盖,无覆盖,光储充站建设难点与有序充电/V2G对策,无,
9,顶层,面向实际场景的光储充一体化系统控制架构优化设计_靖志勇.pdf,期刊论文,自动化应用67(5),国能宿州热电,2026,靖志勇等,converted_fulltext,全文级,1f3bbaaebc88,A,片段级,S4弱覆盖:削峰缺口ΔP按可调度裕度在储能/V2G/切负荷间权重补偿,MPC分层站控：缺口驱动的异构资源裕度补偿，无偏差归因/边界/执行确认,无,文末混入他文2页(串页)，引用细节需回原文
10,顶层,光储充一体化充电桩的能源智能协同机制研究.pdf,期刊论文,智能城市12(1),中国能建辽宁院,2026,马程等,converted_fulltext,全文级,47e4d4fb1a4a,B,无覆盖,无覆盖,Q-learning桩间功率分配+分层协同+5G交互,无,量化数字可信度一般
11,顶层,光储充一体化电站建设关键技术研究.pdf,期刊论文,电力与能源38(6),上海电力设计院,2017,曹凌捷,converted_fulltext,全文级,6815faab069a,B,无覆盖,无覆盖,2017年早期光储充站方案与谷充峰放经济运行,无,全角字符错序严重
12,顶层,光储充一体化电站能量管理关键技术研究.pdf,期刊论文,中国高新科技2024(22),阳光电源(南京),2024,王啸等,converted_fulltext,全文级,c4925146cbfa,A,片段级,S4弱覆盖:配变越限→储能优先承接→按功率差额逐台降桩功率,工程级联调整，与站级预算跟踪/功率重分配邻域最近，无偏差归因与边界语义,无,建议纳入背景技术引用池
13,顶层,基于光储充一体化及分体式充电的新能源充电系统研究_李国军.pdf,期刊论文,电力设备管理(推断),中铁工程机械研究院,2026,李国军、周旭涛,converted_fulltext,全文级,95b5535c0d0a,B,无覆盖,无覆盖,1kV直流母线光储充+640kW分体式充电集成工程,无,刊名系DOI前缀推断
14,顶层,光储充放一体化电站的关键技术与商业模式研究.pdf,产业评述,汽车维修与保养2026(5),大庆职业学院,2026,刘秀莲,converted_fulltext,全文级,f8bfbcdf8173,B,无覆盖,无覆盖,储充模块/V2G/商业模式评述，引中电联2023储能利用率0.31次/日、17%,无,利用率数据可作问题强度旁证
15,顶层,双碳背景下新型工商业园区光储充微电网系统.pdf,企业软文,电气时代2025(1)百强特刊,石家庄科林电气,2025,张奎仲,converted_fulltext,全文级,e36cd8f1957f,B,无覆盖,无覆盖,商用云边端EMS+功率池按最大输出能力动态分配形态旁证,无,
16,顶层,一种储能电站远程监控的方法及系统.pdf,发明专利申请,CN117424897A,广州恒运储能科技,2023,同申请人,ocr_frontpage,扉页级,e4e7004c7eab,C,无覆盖,无覆盖,区块链+节点信誉评估的储能远程监控数据可信接入,无,
17,顶层,一种光储充一体充电桩及共享式充电模型构建方法.pdf,发明专利申请,CN121638746A,国网江苏宿迁供电,2025,同申请人,ocr_frontpage,扉页级,8a673552c3d9,B,无覆盖,无覆盖,充电优先级+动态容量约束多目标分配(计划层优化),无,
18,顶层,一种光储充一体化智慧能源管理系统.pdf,发明专利申请,CN120810933A,晶米能源科技(江苏),2025,同申请人,ocr_frontpage,扉页级,e552d3a17728,B,无覆盖,无覆盖,AGC指令分解+渐进式功率调节EMS,无,
19,顶层,一种光储充协同调度方法.pdf,发明专利申请,CN118739352A,山东浪潮智慧能源,2024,同申请人,ocr_frontpage,扉页级,954bb3802c4b,B,无覆盖,无覆盖,监控数据异常检测+知识库修复+功率调整任务,无,检测归因对象是数据质量非设备能力
20,顶层,一种光储充并网装置协议转换与通信适配系统.pdf,发明专利申请,CN120729963A,辽宁东科电力,2025,同申请人,ocr_frontpage,扉页级,53641491116b,C,无覆盖,无覆盖,异构协议转换+边缘通信适配,无,
21,顶层,一种光储充微网系统的智能调度方法及系统.pdf,发明专利申请,CN120281015A,宿迁电力设计院/河海,2025,同申请人,ocr_frontpage,扉页级,7ba635d7d203,B,无覆盖,无覆盖,三检测模块+优化调度模块架构型系统,无,
22,顶层,一种光储充换检放一体化微电网容量配置方法及相关装置.pdf,发明专利申请,CN121503980A,西安交通大学等,2025,同申请人,ocr_frontpage,扉页级,b1a1a4c11cf6,C,无覆盖,无覆盖,蒙特卡洛+混合整数规划的容量配置,无,
23,顶层,一种光储充放一体化远程检测系统及方法.pdf,发明专利申请,CN116923170A,四川华体照明,2023,同申请人,ocr_frontpage,扉页级,26b88b4d47a0,C,无覆盖,无覆盖,远程检测/故障诊断系统,无,
24,顶层,一种光储充系统能量管理装置、系统.pdf,发明专利申请,CN107968429A,山东鲁能智能技术,2017,同申请人,ocr_frontpage,扉页级,29e2e8c147ad,C,无覆盖,无覆盖,EMS平台装置架构(规约库+组态+VxWorks),无,
25,顶层,一种台区光储充云边协同方法及系统.pdf,发明专利申请,CN114243912A,南京瀚元科技,2021,同申请人,ocr_frontpage,扉页级,401d9f5cbd4a,B,无覆盖,S5浅层:执行结果返回评估，无边界维持/恢复,台区电压灵敏度补偿+任务下发+结果返回评估,无,
26,顶层,一种基于光储充换一体化电站的储能配置方法及其系统.pdf,发明专利申请,CN118920523A,合肥宏拓新能源等,2024,同申请人,ocr_frontpage,扉页级,bf4fa6c99c45,B,无覆盖,无覆盖,能量平衡调整充放策略+故障切备用,无,
27,顶层,一种基于边缘智能调控的光储充四可系统及方法.pdf,发明专利申请,CN120824740A,广东信通通信,2025,同申请人,ocr_frontpage,扉页级,97eca5321fc2,B,无覆盖,无覆盖,云边端三层架构+终端毫秒级故障自治,无,
28,顶层,一种基于边缘物联代理的分布式光储充调控系统.pdf,发明专利申请,CN110855006A,许继电气,2019,同申请人,ocr_frontpage,扉页级,87b9946546e1,B,无覆盖,无覆盖,边缘代理就地计算可用功率并调配光储充,无,语义泛化邻近S3/S4但无偏差修正机制
29,顶层,一种用于新能源光储充一体的管理系统及方法.pdf,发明专利申请,CN122437265A,浙江安富新能源,2026,同申请人,ocr_frontpage,扉页级,fc99ccac53a2,A,片段级,S3状态因子调速+S5浅层执行反馈模块,温度/效率状态因子动态调整充放电速率+策略执行反馈模块,是(次优先),核实状态因子是否构成边界降额、反馈是否回写边界
30,顶层,一种综合能源站储能能量分区控制装置及方法.pdf,发明专利申请,CN121689140A,哈尔滨天源石化设计,2025,同申请人,ocr_frontpage,扉页级,20688b01b0d7,B,无覆盖,无覆盖,SoC四分区(安全/备用/灵活/预留)储能策略,无,
31,顶层,一种计及电池电化学状态与热约束的构网型储能自适应支撑控制方法及系统.pdf,发明专利申请,CN122203352A,武汉普斯迪电力科技,2026,同申请人,ocr_frontpage,扉页级,bc07a75e6a02,A,片段级,S3标量降额:P_cap=P_rated·k_SOC·k_SOH·k_T,已知第一最近现有技术，扉页与10号复核结论一致(非knockout),无,已有权利要求级全文复核(10号报告)
32,顶层,光储充一体化装置能源管理系统.pdf,发明专利申请,CN122092292A,山东平安电气集团,2026,同申请人,ocr_frontpage,扉页级,6b7586470a31,B,无覆盖,无覆盖,六模块EMS(采集/预测/优化/控制/健康/策略学习),无,
33,顶层,光储充场站边缘计算安全防护系统和方法.pdf,发明专利申请,CN122457389A,深圳丁旺科技,2026,同申请人,ocr_frontpage,扉页级,b0227b736725,C,无覆盖,无覆盖,鸿蒙边缘核心+零信任安全防护,无,
34,顶层,商业产业园区光储充多能互补协同优化方法及系统.pdf,发明专利申请,CN122371331A,四川碳中和新能源,2026,同申请人,ocr_frontpage,扉页级,3ec231230609,A,无覆盖(扉页),S1/S5疑似:未执行电量回写下一时段滚动优化，无S3/S4,配变受限下充电电量时段前移/后移+实充电量/未执行电量回写滚动，问题域与本项目最同构,是(最优先),全文核实滚动修正是否隐含设备能力边界要素，若含则威胁可能升格
35,顶层,基于IPSO的光储充一体化充电场站日前调度优化方法.pdf,发明专利申请,CN121332532A,国网安徽蚌埠供电,2025,同申请人,ocr_frontpage,扉页级,be56f6fca515,B,无覆盖,无覆盖,动态电价+多目标IPSO日前调度,无,
36,顶层,基于云边协同的配电网分层分业务数据流设计方法及装置.pdf,发明专利申请,CN119204281A,国网冀北电科院,2024,同申请人,ocr_frontpage,扉页级,9b1642aee6c7,C,无覆盖,无覆盖,分层分业务数据流架构设计,无,
37,顶层,基于数据驱动的电动汽车光储充电站配置方法.pdf,发明专利申请,CN120902588A,国网山西电科院,2025,同申请人,ocr_frontpage,扉页级,666160f400ce,B,无覆盖,无覆盖,用户充电规律分类+预测控制储能目标电量,无,
38,顶层,基于智能调度的光储充配合优化方法及系统.pdf,发明专利申请,CN121440802A,国网江苏南通/合工大,2025,同申请人,ocr_frontpage,扉页级,7d2c090de299,B,无覆盖,无覆盖,硬件采集链+智能体集群协调调度,无,
39,顶层,基于虚拟电厂平台的光储充一体化智能管理系统及方法.pdf,发明专利申请,CN119628020A,国网湖北武汉供电,2024,同申请人,ocr_frontpage,扉页级,6c94f7223ac7,B,无覆盖,无覆盖,储存时间/温度纳入充放电管理策略,无,
40,顶层,基于边端自控的台区光储充协同调控系统及自治方法.pdf,发明专利申请,CN121965627A,四川思极科技,2026,同申请人,ocr_frontpage,扉页级,208be0a22138,B,无覆盖,无覆盖,端边台三级自治+联邦学习+数字孪生约束嵌入,无,
41,顶层,构网型光储充系统数字孪生模拟控制平台.pdf,发明专利申请,CN122371467A,美泰姆(深圳)科技,2026,同申请人,ocr_frontpage,扉页级,4f86c7abb55d,B,无覆盖,无覆盖,孪生预仿真防策略盲执行(参数调整-仿真-反馈迭代),无,反馈在孪生体内非现场执行反馈
42,顶层,考虑系统能效及碳排的光储充微电网优化配置方法.pdf,发明专利申请,CN122371252A,浙江大学,2026,同申请人,ocr_frontpage,扉页级,f373055d9ad7,C,无覆盖,无覆盖,五目标容量配置+多工作模式划分,无,
43,可信,基于等可信容量的含风光储微电网电源优化规划研究.pdf,博士学位论文,武汉大学,武汉大学,2014(判读),何俊,converted_fulltext,全文级,ac12611ad8ea,B,无覆盖,无覆盖,可信容量(capacity credit)等可信配置规划——术语撞车:可信容量≠可信能力边界,无,说明书需显式定义区分
44,可信,状态感知的可信执行环境内核模糊测试方法.pdf,期刊论文,信息安全研究12(3),辽宁工程技术大学,2026,邱云飞等,converted_fulltext,全文级,616c5a68d258,C,无覆盖,无覆盖,TEE内核状态感知模糊测试,无,文件含19个NUL字节(转换残留)
45,可信,信息能源系统的边缘节点可信评估及控制策略.pdf,期刊论文,全球能源互联网3(6),东北大学,2020,任汝飞等,converted_fulltext,全文级,cc07b8b22708,B,无覆盖,无覆盖,CPS边缘节点零信任评估+事件触发控制,无,
