rel_path,subdir,probe_status,ocr_status,pages_ocr,out_rel_path,out_cjk_chars,elapsed_s
一种储能电站远程监控的方法及系统.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种储能电站远程监控的方法及系统.frontpage.md,636,7.36
一种光储充一体充电桩及共享式充电模型构建方法.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种光储充一体充电桩及共享式充电模型构建方法.frontpage.md,766,6.13
一种光储充一体化智慧能源管理系统.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种光储充一体化智慧能源管理系统.frontpage.md,452,4.17
一种光储充协同调度方法.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种光储充协同调度方法.frontpage.md,479,4.56
一种光储充并网装置协议转换与通信适配系统.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种光储充并网装置协议转换与通信适配系统.frontpage.md,555,3.2
一种光储充微网系统的智能调度方法及系统.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种光储充微网系统的智能调度方法及系统.frontpage.md,489,4.65
一种光储充换检放一体化微电网容量配置方法及相关装置.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种光储充换检放一体化微电网容量配置方法及相关装置.frontpage.md,537,4.75
一种光储充放一体化远程检测系统及方法.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种光储充放一体化远程检测系统及方法.frontpage.md,401,3.1
一种光储充系统能量管理装置、系统.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种光储充系统能量管理装置、系统.frontpage.md,437,3.58
一种台区光储充云边协同方法及系统.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种台区光储充云边协同方法及系统.frontpage.md,428,4.39
一种基于光储充换一体化电站的储能配置方法及其系统.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种基于光储充换一体化电站的储能配置方法及其系统.frontpage.md,576,4.74
一种基于边缘智能调控的光储充四可系统及方法.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种基于边缘智能调控的光储充四可系统及方法.frontpage.md,386,2.31
一种基于边缘物联代理的分布式光储充调控系统.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种基于边缘物联代理的分布式光储充调控系统.frontpage.md,526,4.27
一种用于新能源光储充一体的管理系统及方法.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种用于新能源光储充一体的管理系统及方法.frontpage.md,468,2.9
一种综合能源站储能能量分区控制装置及方法.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种综合能源站储能能量分区控制装置及方法.frontpage.md,458,3.76
一种计及电池电化学状态与热约束的构网型储能自适应支撑控制方法及系统.pdf,顶层,image_only,ok,1,converted_ocr\顶层\一种计及电池电化学状态与热约束的构网型储能自适应支撑控制方法及系统.frontpage.md,548,3.72
光储充一体化装置能源管理系统.pdf,顶层,image_only,ok,1,converted_ocr\顶层\光储充一体化装置能源管理系统.frontpage.md,429,4.05
光储充场站边缘计算安全防护系统和方法.pdf,顶层,image_only,ok,1,converted_ocr\顶层\光储充场站边缘计算安全防护系统和方法.frontpage.md,444,3.21
